iter	Passed	Remaining
178	377	1733
179	378	1726
180	380	1720
181	381	1715
182	383	1710
183	384	1705
184	385	1698
185	386	1690
186	387	1685
187	388	1678
188	389	1672
189	390	1665
190	391	1658
191	393	1654
192	394	1649
193	395	1644
194	397	1641
195	398	1635
196	399	1629
197	400	1624
198	401	1617
199	402	1611
200	403	1604
201	404	1598
202	405	1592
203	407	1589
204	408	1584
205	409	1579
206	411	1576
207	413	1575
208	414	1570
209	415	1564
210	416	1558
211	417	1552
212	418	1547
213	419	1541
214	421	1539
215	422	1534
216	423	1529
217	425	1526
218	426	1521
219	427	1516
220	428	1511
221	429	1506
222	430	1500
223	431	1496
224	432	1490
225	433	1486
226	435	1484
227	436	1479
228	438	1475
229	440	1474
230	442	1471
231	443	1466
232	443	1461
233	444	1456
234	445	1451
235	447	1447
236	448	1443
237	449	1439
238	450	1435
239	452	1431
240	453	1427
241	454	1423
242	455	1418
243	456	1414
244	457	1409
245	458	1404
246	459	1399
247	460	1396
248	461	1391
249	462	1386
250	463	1382
251	464	1379
252	467	1380
253	468	1376
254	470	1373
255	471	1368
256	472	1364
257	473	1360
258	474	1356
259	475	1353
260	476	1350
261	477	1345
262	480	1345
263	481	1341
264	482	1337
265	483	1333
266	484	1328
267	485	1325
268	486	1322
269	487	1318
270	488	1313
271	489	1311
272	490	1307
273	492	1305
274	495	1305
275	496	1302
276	497	1299
277	499	1297
278	500	1293
279	502	1291
280	506	1296
281	509	1297
282	510	1293
283	512	1291
284	513	1288
285	514	1284
286	516	1282
287	517	1278
288	519	1278
289	522	1278
290	523	1274
291	524	1271
292	525	1269
293	527	1266
294	528	1262
295	529	1259
296	530	1256
297	532	1254
298	534	1252
299	535	1250
300	537	1247
301	538	1244
302	540	1242
303	541	1239
304	542	1235
305	543	1231
306	544	1228
307	550	1235
308	551	1234
309	553	1231
310	554	1228
311	555	1224
312	556	1221
313	557	1217
314	558	1214
315	559	1212
316	561	1210
317	563	1208
318	564	1205
319	568	1208
320	569	1204
321	570	1201
322	571	1197
323	572	1194
324	573	1191
325	574	1188
326	576	1186
327	577	1183
328	580	1183
329	581	1180
330	582	1177
331	583	1173
332	584	1170
333	585	1166
334	586	1163
335	587	1160
336	588	1156
337	589	1154
338	593	1157
339	594	1154
340	595	1151
341	597	1148
342	597	1145
343	598	1142
344	599	1138
345	600	1135
346	601	1132
347	602	1128
348	604	1126
349	606	1125
350	607	1123
351	608	1120
352	610	1118
353	612	1117
354	613	1114
355	614	1111
356	615	1108
357	616	1105
358	617	1102
359	618	1100
360	620	1097
361	621	1094
362	622	1091
363	623	1089
364	624	1086
365	625	1083
366	626	1080
367	627	1077
368	628	1074
369	629	1072
370	632	1071
371	634	1071
372	635	1068
373	636	1066
374	638	1064
375	639	1061
376	640	1058
377	641	1055
378	642	1052
379	643	1049
380	644	1046
381	645	1044
382	647	1043
383	648	1040
384	650	1038
385	651	1037
386	653	1034
387	654	1032
388	655	1030
389	656	1027
390	658	1025
391	659	1023
392	660	1020
393	662	1018
394	663	1016
395	664	1013
396	665	1010
397	666	1007
398	667	1005
399	668	1002
400	669	999
401	670	996
402	671	994
403	671	991
404	673	989
405	675	988
406	676	985
407	677	982
408	678	979
409	679	977
410	679	974
411	680	971
412	681	969
413	682	966
414	683	963
415	684	961
416	685	958
417	687	956
418	688	954
419	689	951
420	691	951
421	692	948
422	693	945
423	694	943
424	695	940
425	696	938
426	697	935
427	698	933
428	699	930
429	700	928
430	701	926
431	702	923
432	703	921
433	704	918
434	705	916
435	706	913
436	707	910
437	708	908
438	708	905
439	709	903
440	710	900
441	711	898
442	712	896
443	714	894
444	715	892
445	716	890
446	717	887
447	718	885
448	719	882
449	720	880
450	721	878
451	722	875
452	723	873
453	724	870
454	724	868
455	725	865
456	726	863
457	729	863
458	731	861
459	732	859
460	733	857
461	734	855
462	735	852
463	736	850
